Marca;Modelo;Precio;Kilometros;Año;Potencia
Audi;A1;16.500 €;85000 km;2017;116 cv
Audi;A1;16.890 €;99600 km;2020;95 cv
Audi;A1;11.000 €;214000 km;2014;143 cv
Audi;A1;7800 €;216000 km;2012;90 cv
Audi;A3;18.890 €;118300 km;2019;116 cv
Audi;A3;19.890 €;93775 km;2018;116 cv
Audi;A3;4000 €;265318 km;1998;125 cv
Audi;A3;29.900 €;70000 km;2020;0 cv
Audi;Q3;29.490 €;97042 km;2021;150 cv
Audi;Q3;26.890 €;82000 km;2019;150 cv
Audi;Q3;33.890 €;76213 km;2021;245 cv
Audi;Q3;34.890 €;82502 km;2022;245 cv
Audi;Q5;39.890 €;77696 km;2021;204 cv
Audi;Q5;16.890 €;223938 km;2016;190 cv
Audi;Q5;27.890 €;122878 km;2017;190 cv
Audi;Q5;31.890 €;82529 km;2021;163 cv
